level_0,index,标题,标题链接,缩略图,right-info,right-info1,lng,lat
0,1,太浦河,https://www.haodiaoyu.com/diaochang/shanghai/59563.html,http://p6.diaoyur.cn/group6/M00/06/ED/cjd0iVX0HlK2fP5m9JZUV-QWRtnbq.jpeg!thum,上海市青浦区练西公路2755弄,免费,120.99534526078784,31.05478574907906
1,2,湖泊河道,https://www.haodiaoyu.com/diaochang/shanghai/59513.html,http://p6.diaoyur.cn/group6/M00/06/CB/cjd0iV3sJFO48nhtmZK-lXMcQeVor.jpg!thum,上海市青浦区青昆路293号,免费,121.12051807665587,31.134184951101275
2,3,河边,https://www.haodiaoyu.com/diaochang/shanghai/59489.html,http://p4.diaoyur.cn/group4/M00/0A/C4/cjd0iV78zQugx2d9oWVDEwN0GYveh.jpg!thum,上海市浦东新区运航路909号,免费,121.77481532542775,31.148866824133297
3,4,嘉定小天地垂钓中心,https://www.haodiaoyu.com/diaochang/shanghai/59475.html,http://p6.diaoyur.cn/group6/M00/06/BA/cjd0iV5FDot1inOSmT2rbMgBa6fyx.jpeg!thum,上海市嘉定区墨玉北路1096号,200元/天,121.17244610812926,31.321881712061607
4,5,岔口水闸后面,https://www.haodiaoyu.com/diaochang/shanghai/59451.html,http://p4.diaoyur.cn/group4/M00/0A/B4/cjd0iVgkYFrZB5NaKjJTqDSItEwCu.jpg!thum,上海市松江区,免费,121.23447959624146,31.037135176464492
5,6,嘉定丰采喧乐园拓展基地休闲垂钓,https://www.haodiaoyu.com/diaochang/shanghai/59384.html,http://p5.diaoyur.cn/group5/M00/06/B3/cjd0iVbZ1nx7CtcDlBSVszg5E3k6p.jpg!thum,上海市嘉定区惠平南路,15元/斤,121.27259505835202,31.3801553396772
6,7,逍悠垂钓园,https://www.haodiaoyu.com/diaochang/shanghai/59344.html,http://p6.diaoyur.cn/group6/M00/06/90/cjd0iVkzP9i8By-OjuC1It3HKEb5T.jpg!thum,上海市青浦区,100元/天,121.13055310467274,31.155454317980737
7,8,大渔路亚,https://www.haodiaoyu.com/diaochang/shanghai/59278.html,http://p5.diaoyur.cn/group5/M00/06/7C/cjd0iVUSrRNKybHBFCPl1qWxgvMiZ.jpg!thum,上海市青浦区,300元/天,121.13055310467274,31.155454317980737
8,9,胖子野生钓鱼基地,https://www.haodiaoyu.com/diaochang/shanghai/59271.html,http://p4.diaoyur.cn/group4/M00/0A/78/cjd0iVxHs-nhMcFD03LkqaRSyJXzI.jpg!thum,上海市宝山区沪太公路辅路,150元/天,121.4965630135246,31.41027947347614
9,10,渔乐圈钓场中心,https://www.haodiaoyu.com/diaochang/shanghai/59266.html,http://p2.diaoyur.cn/group2/M00/0A/77/cjd0iV79Q-Tz6SGhdbRVoAIi2JpcE.jpg!thum,上海市青浦区,300元/天,121.13055310467274,31.155454317980737
10,11,杨南路罗贤路,https://www.haodiaoyu.com/diaochang/shanghai/59258.html,http://p4.diaoyur.cn/group4/M00/0A/72/cjd0iVkf89OIZar47HjKSDocq05QY.jpg!thum,上海市宝山区杨南路,免费,121.37985576712619,31.398725217407822
11,12,文学营钓场,https://www.haodiaoyu.com/diaochang/shanghai/59203.html,http://p2.diaoyur.cn/group2/M00/0A/6F/cjd0iVpwq2Iy1V-F9BklebcSXTdgu.jpg!thum,上海市青浦区山深支路100号,免费,120.98734992051992,31.070124246686465
12,13,肖家路野河,https://www.haodiaoyu.com/diaochang/shanghai/59008.html,http://p4.diaoyur.cn/group4/M00/0A/45/cjd0iV4fo3Ma6VWXkBqdSAyLQFrwH.jpg!thum,上海市宝山区沪王路,免费,121.37805881115692,31.381782504306194
13,14,李家桥,https://www.haodiaoyu.com/diaochang/shanghai/58971.html,http://p5.diaoyur.cn/group5/M00/06/2F/cjd0iV8uRkv1PQWh72doESsJCUIH9.jpg!thum,上海市宝山区长联路548号,免费,121.35136380947866,31.3845399601963
14,15,小星公路,https://www.haodiaoyu.com/diaochang/shanghai/58922.html,http://p4.diaoyur.cn/group4/M00/0A/2C/cjd0iVBtRbufeNkPzWijC4SxlQ019.jpg!thum,上海市崇明县Y029(小星公路),免费,121.37576016144168,31.74587269061389
15,16,游钓家族松江基地,https://www.haodiaoyu.com/diaochang/shanghai/58855.html,http://p1.diaoyur.cn/group1/M00/13/BB/cjd0iVY2fc1Aad4PCkZ7uBbHEqrTG.jpg!thum,上海市松江区申南一路15号,20元/斤,121.3770723010289,31.087714333050233
16,17,野河,https://www.haodiaoyu.com/diaochang/shanghai/58842.html,http://p5.diaoyur.cn/group5/M00/06/2E/cjd0iVQwsMPRu8mCSDj7aVEZcfB93.jpg!thum,上海市青浦区前云路128号,免费,121.276149653255,31.152014203267658
17,18,江河,https://www.haodiaoyu.com/diaochang/shanghai/58840.html,http://p2.diaoyur.cn/group2/M00/0A/2F/cjd0iVTI5q13L6HRbn2Xtih7dN-Q4.jpg!thum,上海市浦东新区新元南路,免费,121.82788566627853,30.88806212323399
18,19,菜地,https://www.haodiaoyu.com/diaochang/shanghai/58717.html,http://p2.diaoyur.cn/group2/M00/0A/36/cjd0iVZwvcs0yWA9rk3YMCDahxFjP.jpg!thum,上海市崇明县陈南北路,0元/时,121.80020946639776,31.507496508915516
19,20,星空渔乐,https://www.haodiaoyu.com/diaochang/shanghai/58689.html,http://p3.diaoyur.cn/group3/M00/09/D3/cjd0iVskdCUgrctjJMbnTFAQo6NOX.jpeg!thum,上海市崇明县大港公路,200元/天,121.73574319310161,31.580226464330043
20,23,保税区八号门三岔河口,https://www.haodiaoyu.com/diaochang/shanghai/58625.html,http://p2.diaoyur.cn/group2/M00/09/C0/cjd0iVheu7xgNZMskqYtz6XmdBj1r.jpg!thum,上海市浦东新区富特东三路,免费,121.63612219090996,31.314576231227253
21,24,无名野河,https://www.haodiaoyu.com/diaochang/shanghai/58621.html,http://p4.diaoyur.cn/group4/M00/09/BA/cjd0iVMAHga9hsY7eKBf8yrXGDWVT.jpg!thum,上海市青浦区方西路,免费,121.22190598706912,31.156167980471952
22,25,野塘,https://www.haodiaoyu.com/diaochang/shanghai/58562.html,http://p5.diaoyur.cn/group5/M00/05/AB/cjd0iVoKx-1PulSnmifVwdakW3zAG.jpg!thum,上海市青浦区赵巷镇中路,免费,121.20863184332791,31.16079351996082
