标题,标题链接,缩略图,right-info,right-info1
,,,,
太浦河,https://www.haodiaoyu.com/diaochang/shanghai/59563.html,http://p6.diaoyur.cn/group6/M00/06/ED/cjd0iVX0HlK2fP5m9JZUV-QWRtnbq.jpeg!thum,上海市青浦区练西公路2755弄,免费
湖泊河道,https://www.haodiaoyu.com/diaochang/shanghai/59513.html,http://p6.diaoyur.cn/group6/M00/06/CB/cjd0iV3sJFO48nhtmZK-lXMcQeVor.jpg!thum,上海市青浦区青昆路293号,免费
河边,https://www.haodiaoyu.com/diaochang/shanghai/59489.html,http://p4.diaoyur.cn/group4/M00/0A/C4/cjd0iV78zQugx2d9oWVDEwN0GYveh.jpg!thum,上海市浦东新区运航路909号,免费
嘉定小天地垂钓中心,https://www.haodiaoyu.com/diaochang/shanghai/59475.html,http://p6.diaoyur.cn/group6/M00/06/BA/cjd0iV5FDot1inOSmT2rbMgBa6fyx.jpeg!thum,上海市嘉定区墨玉北路1096号,200元/天
岔口水闸后面,https://www.haodiaoyu.com/diaochang/shanghai/59451.html,http://p4.diaoyur.cn/group4/M00/0A/B4/cjd0iVgkYFrZB5NaKjJTqDSItEwCu.jpg!thum,上海市松江区,免费
嘉定丰采喧乐园拓展基地休闲垂钓,https://www.haodiaoyu.com/diaochang/shanghai/59384.html,http://p5.diaoyur.cn/group5/M00/06/B3/cjd0iVbZ1nx7CtcDlBSVszg5E3k6p.jpg!thum,上海市嘉定区惠平南路,15元/斤
逍悠垂钓园,https://www.haodiaoyu.com/diaochang/shanghai/59344.html,http://p6.diaoyur.cn/group6/M00/06/90/cjd0iVkzP9i8By-OjuC1It3HKEb5T.jpg!thum,上海市青浦区,100元/天
大渔路亚,https://www.haodiaoyu.com/diaochang/shanghai/59278.html,http://p5.diaoyur.cn/group5/M00/06/7C/cjd0iVUSrRNKybHBFCPl1qWxgvMiZ.jpg!thum,上海市青浦区,300元/天
胖子野生钓鱼基地,https://www.haodiaoyu.com/diaochang/shanghai/59271.html,http://p4.diaoyur.cn/group4/M00/0A/78/cjd0iVxHs-nhMcFD03LkqaRSyJXzI.jpg!thum,上海市宝山区沪太公路辅路,150元/天
渔乐圈钓场中心,https://www.haodiaoyu.com/diaochang/shanghai/59266.html,http://p2.diaoyur.cn/group2/M00/0A/77/cjd0iV79Q-Tz6SGhdbRVoAIi2JpcE.jpg!thum,上海市青浦区,300元/天
杨南路罗贤路,https://www.haodiaoyu.com/diaochang/shanghai/59258.html,http://p4.diaoyur.cn/group4/M00/0A/72/cjd0iVkf89OIZar47HjKSDocq05QY.jpg!thum,上海市宝山区杨南路,免费
文学营钓场,https://www.haodiaoyu.com/diaochang/shanghai/59203.html,http://p2.diaoyur.cn/group2/M00/0A/6F/cjd0iVpwq2Iy1V-F9BklebcSXTdgu.jpg!thum,上海市青浦区山深支路100号,免费
肖家路野河,https://www.haodiaoyu.com/diaochang/shanghai/59008.html,http://p4.diaoyur.cn/group4/M00/0A/45/cjd0iV4fo3Ma6VWXkBqdSAyLQFrwH.jpg!thum,上海市宝山区沪王路,免费
李家桥,https://www.haodiaoyu.com/diaochang/shanghai/58971.html,http://p5.diaoyur.cn/group5/M00/06/2F/cjd0iV8uRkv1PQWh72doESsJCUIH9.jpg!thum,上海市宝山区长联路548号,免费
小星公路,https://www.haodiaoyu.com/diaochang/shanghai/58922.html,http://p4.diaoyur.cn/group4/M00/0A/2C/cjd0iVBtRbufeNkPzWijC4SxlQ019.jpg!thum,上海市崇明县Y029(小星公路),免费
游钓家族松江基地,https://www.haodiaoyu.com/diaochang/shanghai/58855.html,http://p1.diaoyur.cn/group1/M00/13/BB/cjd0iVY2fc1Aad4PCkZ7uBbHEqrTG.jpg!thum,上海市松江区申南一路15号,20元/斤
野河,https://www.haodiaoyu.com/diaochang/shanghai/58842.html,http://p5.diaoyur.cn/group5/M00/06/2E/cjd0iVQwsMPRu8mCSDj7aVEZcfB93.jpg!thum,上海市青浦区前云路128号,免费
江河,https://www.haodiaoyu.com/diaochang/shanghai/58840.html,http://p2.diaoyur.cn/group2/M00/0A/2F/cjd0iVTI5q13L6HRbn2Xtih7dN-Q4.jpg!thum,上海市浦东新区新元南路,免费
菜地,https://www.haodiaoyu.com/diaochang/shanghai/58717.html,http://p2.diaoyur.cn/group2/M00/0A/36/cjd0iVZwvcs0yWA9rk3YMCDahxFjP.jpg!thum,上海市崇明县陈南北路,0元/时
星空渔乐,https://www.haodiaoyu.com/diaochang/shanghai/58689.html,http://p3.diaoyur.cn/group3/M00/09/D3/cjd0iVskdCUgrctjJMbnTFAQo6NOX.jpeg!thum,上海市崇明县大港公路,200元/天
,,,,
,,,,
保税区八号门三岔河口,https://www.haodiaoyu.com/diaochang/shanghai/58625.html,http://p2.diaoyur.cn/group2/M00/09/C0/cjd0iVheu7xgNZMskqYtz6XmdBj1r.jpg!thum,上海市浦东新区富特东三路,免费
无名野河,https://www.haodiaoyu.com/diaochang/shanghai/58621.html,http://p4.diaoyur.cn/group4/M00/09/BA/cjd0iVMAHga9hsY7eKBf8yrXGDWVT.jpg!thum,上海市青浦区方西路,免费
野塘,https://www.haodiaoyu.com/diaochang/shanghai/58562.html,http://p5.diaoyur.cn/group5/M00/05/AB/cjd0iVoKx-1PulSnmifVwdakW3zAG.jpg!thum,上海市青浦区赵巷镇中路,免费
戚家港河,https://www.haodiaoyu.com/diaochang/shanghai/58363.html,http://p5.diaoyur.cn/group5/M00/05/7B/cjd0iVT7I1gbPVuZJU85FlQie-amL.jpg!thum,上海市青浦区,免费
江湾,https://www.haodiaoyu.com/diaochang/shanghai/58358.html,http://p3.diaoyur.cn/group3/M00/09/73/cjd0iVd5qHpO4fm0QYtGuaT8olw21.jpg!thum,上海市杨浦区国权北路549号,免费
潘泾路金勺路,https://www.haodiaoyu.com/diaochang/shanghai/58349.html,http://p6.diaoyur.cn/group6/M00/05/74/cjd0iVi5E94Gp1rATU7lmVqOCnQW0.jpg!thum,上海市宝山区金石路1466号,免费
赵家沟,https://www.haodiaoyu.com/diaochang/shanghai/58347.html,http://p2.diaoyur.cn/group2/M00/09/78/cjd0iV04HRvGNJltKhmSWBkgsiPpY.jpg!thum,上海市浦东新区顾高公路1912号,免费
流水大河,https://www.haodiaoyu.com/diaochang/shanghai/58277.html,http://p6.diaoyur.cn/group6/M00/05/67/cjd0iVIhLbZPmsquXgU2kN5pnt8fW.jpg!thum,上海市青浦区赵重路1338号,免费
泗泾菜市场旁边小河,https://www.haodiaoyu.com/diaochang/shanghai/58267.html,http://p1.diaoyur.cn/group1/M00/12/FB/cjd0iVvek3ADilECjIBLHp-NG80gz.jpg!thum,上海市松江区鼓浪路,免费
春岳华仔休闲钓场,https://www.haodiaoyu.com/diaochang/shanghai/58096.html,http://p3.diaoyur.cn/group3/M00/09/34/cjd0iVegyE2inZcmr0VSXxoY1Fzb3.jpg!thum,上海市青浦区X023(沈砖公路),150元/天
丰荷农庄休闲垂钓中心,https://www.haodiaoyu.com/diaochang/shanghai/58095.html,http://p6.diaoyur.cn/group6/M00/05/35/cjd0iVFCE8yT6L2qXtwJQgs05DK9a.jpg!thum,上海市奉贤区X011(航南公路),200元/天
